Year,Distance,Stroke,Sex,Nationality,Athlete,Time,Rank,Event,Source,Time_sec,Nationality_full
2020,100m,Backstroke,Men,ROC,Evgeny Rylov,51.98,1,100m Backstroke,Olympic,51.98,ROC
2020,100m,Backstroke,Men,ROC,Kliment Kolesnikov,52,2,100m Backstroke,Olympic,52.0,ROC
2020,100m,Backstroke,Men,USA,Ryan Murphy,52.19,3,100m Backstroke,Olympic,52.19,United States
2020,100m,Backstroke,Men,ITA,Thomas Ceccon,52.3,4,100m Backstroke,Olympic,52.3,Italy
2020,100m,Backstroke,Men,CHN,Jiayu Xu,52.51,4,100m Backstroke,Olympic,52.51,China
2020,100m,Backstroke,Men,ESP,Hugo Gonzalez De Oliveira,52.78,4,100m Backstroke,Olympic,52.78,Spain
2020,100m,Backstroke,Men,AUS,Mitchell Larkin,52.79,4,100m Backstroke,Olympic,52.79,Australia
2020,100m,Backstroke,Men,ROU,Robert Glinta,52.95,4,100m Backstroke,Olympic,52.95,Romania
2020,100m,Breaststroke,Men,GBR,Adam Peaty,57.37,1,100m Breaststroke,Olympic,57.37,United Kingdom
2020,100m,Breaststroke,Men,NED,Arno Kamminga,58,2,100m Breaststroke,Olympic,58.0,NED
2020,100m,Breaststroke,Men,ITA,Nicolo Martinenghi,58.33,3,100m Breaststroke,Olympic,58.33,Italy
2020,100m,Breaststroke,Men,USA,Michael Andrew,58.84,4,100m Breaststroke,Olympic,58.84,United States
2020,100m,Breaststroke,Men,GBR,James Wilby,58.96,4,100m Breaststroke,Olympic,58.96,United Kingdom
2020,100m,Breaststroke,Men,CHN,Zibei Yan,58.99,4,100m Breaststroke,Olympic,58.99,China
2020,100m,Breaststroke,Men,USA,Andrew Wilson,58.99,4,100m Breaststroke,Olympic,58.99,United States
2020,100m,Breaststroke,Men,BLR,Ilya Shymanovich,59.36,4,100m Breaststroke,Olympic,59.36,Belarus
2020,100m,Butterfly,Men,USA,Caeleb Dressel,49.45,1,100m Butterfly,Olympic,49.45,United States
2020,100m,Butterfly,Men,HUN,Kristof Kristof Milak,49.68,2,100m Butterfly,Olympic,49.68,Hungary
2020,100m,Butterfly,Men,SUI,Noe Ponti,50.74,3,100m Butterfly,Olympic,50.74,SUI
2020,100m,Butterfly,Men,ROC,Andrei Minakov,50.88,4,100m Butterfly,Olympic,50.88,ROC
2020,100m,Butterfly,Men,POL,Jakub Majerski,50.92,4,100m Butterfly,Olympic,50.92,Poland
2020,100m,Butterfly,Men,AUS,Matthew Temple,50.92,4,100m Butterfly,Olympic,50.92,Australia
2020,100m,Butterfly,Men,GUA,Luis Martinez,51.09,4,100m Butterfly,Olympic,51.09,GUA
2020,100m,Butterfly,Men,BUL,Josif Miladinov,51.49,4,100m Butterfly,Olympic,51.49,BUL
2020,100m,Freestyle,Men,USA,Caeleb Dressel,47.02,1,100m Freestyle,Olympic,47.02,United States
2020,100m,Freestyle,Men,AUS,Kyle Chalmers,47.08,2,100m Freestyle,Olympic,47.08,Australia
2020,100m,Freestyle,Men,ROC,Kliment Kolesnikov,47.44,3,100m Freestyle,Olympic,47.44,ROC
2020,100m,Freestyle,Men,FRA,Maxime Grousset,47.72,4,100m Freestyle,Olympic,47.72,France
2020,100m,Freestyle,Men,KOR,Sunwoo Hwang,47.82,4,100m Freestyle,Olympic,47.82,"Korea, Republic of"
2020,100m,Freestyle,Men,ITA,Alessandro Miressi,47.86,4,100m Freestyle,Olympic,47.86,Italy
2020,100m,Freestyle,Men,ROU,David Popovici,48.04,4,100m Freestyle,Olympic,48.04,Romania
2020,100m,Freestyle,Men,HUN,Nandor Nemeth,48.1,4,100m Freestyle,Olympic,48.1,Hungary
2020,1500m,Freestyle,Men,USA,Robert Finke,14:39.65,1,1500m Freestyle,Olympic,879.65,United States
2020,1500m,Freestyle,Men,UKR,Mykhailo Romanchuk,14:40.66,2,1500m Freestyle,Olympic,880.66,Ukraine
2020,1500m,Freestyle,Men,GER,Florian Wellbrock,14:40.91,3,1500m Freestyle,Olympic,880.91,GER
2020,1500m,Freestyle,Men,ITA,Gregorio Paltrinieri,14:45.01,4,1500m Freestyle,Olympic,885.01,Italy
2020,1500m,Freestyle,Men,GBR,Daniel Jervis,14:55.48,4,1500m Freestyle,Olympic,895.48,United Kingdom
2020,1500m,Freestyle,Men,ROC,Kirill Martynychev,14:55.85,4,1500m Freestyle,Olympic,895.85,ROC
2020,1500m,Freestyle,Men,AUT,Felix Auboeck,15:03.47,4,1500m Freestyle,Olympic,903.47,Austria
2020,1500m,Freestyle,Men,UKR,Serhii Frolov,15:04.26,4,1500m Freestyle,Olympic,904.26,Ukraine
2020,200m,Backstroke,Men,ROC,Evgeny Rylov,1:53.27,1,200m Backstroke,Olympic,113.27000000000001,ROC
2020,200m,Backstroke,Men,USA,Ryan Murphy,1:54.15,2,200m Backstroke,Olympic,114.15,United States
2020,200m,Backstroke,Men,GBR,Luke Greenbank,1:54.72,3,200m Backstroke,Olympic,114.72,United Kingdom
2020,200m,Backstroke,Men,USA,Bryce Mefford,1:55.49,4,200m Backstroke,Olympic,115.49000000000001,United States
2020,200m,Backstroke,Men,HUN,Adam Telegdy,1:56.15,4,200m Backstroke,Olympic,116.15,Hungary
2020,200m,Backstroke,Men,POL,Radoslaw Kawecki,1:56.39,4,200m Backstroke,Olympic,116.39,Poland
2020,200m,Backstroke,Men,JPN,Ryosuke Irie,1:57.32,4,200m Backstroke,Olympic,117.32,Japan
2020,200m,Backstroke,Men,ESP,Nicolas Garcia Saiz,1:59.06,4,200m Backstroke,Olympic,119.06,Spain
2020,200m,Breaststroke,Men,AUS,Izaac Stubblety-Cook,2:06.38,1,200m Breaststroke,Olympic,126.38,Australia
2020,200m,Breaststroke,Men,NED,Arno Kamminga,2:07.01,2,200m Breaststroke,Olympic,127.01,NED
2020,200m,Breaststroke,Men,FIN,Matti Mattsson,2:07.13,3,200m Breaststroke,Olympic,127.13,Finland
2020,200m,Breaststroke,Men,ROC,Anton Chupkov,2:07.24,4,200m Breaststroke,Olympic,127.24,ROC
2020,200m,Breaststroke,Men,USA,Nic Fink,2:07.93,4,200m Breaststroke,Olympic,127.93,United States
2020,200m,Breaststroke,Men,GBR,James Wilby,2:08.19,4,200m Breaststroke,Olympic,128.19,United Kingdom
2020,200m,Breaststroke,Men,JPN,Ryuya Mura,2:08.42,4,200m Breaststroke,Olympic,128.42,Japan
2020,200m,Breaststroke,Men,SWE,Erik Persson,2:08.88,4,200m Breaststroke,Olympic,128.88,Sweden
2020,200m,Butterfly,Men,HUN,Kristof Kristof Milak,1:51.25,1,200m Butterfly,Olympic,111.25,Hungary
2020,200m,Butterfly,Men,JPN,Tomoru Honda,1:53.73,2,200m Butterfly,Olympic,113.72999999999999,Japan
2020,200m,Butterfly,Men,ITA,Federico Burdisso,1:54.45,3,200m Butterfly,Olympic,114.45,Italy
2020,200m,Butterfly,Men,HUN,Tamas Kenderesi,1:54.52,4,200m Butterfly,Olympic,114.52000000000001,Hungary
2020,200m,Butterfly,Men,RSA,Chad Le Clos,1:54.93,4,200m Butterfly,Olympic,114.93,RSA
2020,200m,Butterfly,Men,BRA,Leonardo De Deus,1:55.19,4,200m Butterfly,Olympic,115.19,Brazil
2020,200m,Butterfly,Men,USA,Gunnar Bentz,1:55.46,4,200m Butterfly,Olympic,115.46000000000001,United States
2020,200m,Butterfly,Men,POL,Krzysztof Chmielewski,1:55.88,4,200m Butterfly,Olympic,115.88,Poland
2020,200m,Freestyle,Men,GBR,Tom Dean,1:44.22,1,200m Freestyle,Olympic,104.22,United Kingdom
2020,200m,Freestyle,Men,GBR,Duncan Scott,1:44.26,2,200m Freestyle,Olympic,104.25999999999999,United Kingdom
2020,200m,Freestyle,Men,BRA,Fernando Scheffer,1:44.66,3,200m Freestyle,Olympic,104.66,Brazil
2020,200m,Freestyle,Men,ROU,David Popovici,1:44.68,4,200m Freestyle,Olympic,104.68,Romania
2020,200m,Freestyle,Men,ROC,Martin Malyutin,1:45.01,4,200m Freestyle,Olympic,105.00999999999999,ROC
2020,200m,Freestyle,Men,USA,Kieran Smith,1:45.12,4,200m Freestyle,Olympic,105.12,United States
2020,200m,Freestyle,Men,KOR,Sunwoo Hwang,1:45.26,4,200m Freestyle,Olympic,105.25999999999999,"Korea, Republic of"
2020,200m,Freestyle,Men,LTU,Danas Rapsys,1:45.78,4,200m Freestyle,Olympic,105.78,Lithuania
2020,200m,Individual medley,Men,CHN,Shun Wang,1:55.00,1,200m Individual medley,Olympic,115.0,China
2020,200m,Individual medley,Men,GBR,Duncan Scott,1:55.28,2,200m Individual medley,Olympic,115.28,United Kingdom
2020,200m,Individual medley,Men,SUI,Jeremy Desplanches,1:56.17,3,200m Individual medley,Olympic,116.17,SUI
2020,200m,Individual medley,Men,JPN,Daiya Seto,1:56.22,4,200m Individual medley,Olympic,116.22,Japan
2020,200m,Individual medley,Men,USA,Michael Andrew,1:57.31,4,200m Individual medley,Olympic,117.31,United States
2020,200m,Individual medley,Men,JPN,Kosuke Hagino,1:57.49,4,200m Individual medley,Olympic,117.49000000000001,Japan
2020,200m,Individual medley,Men,HUN,Laszlo Cseh,1:57.68,4,200m Individual medley,Olympic,117.68,Hungary
2020,200m,Individual medley,Men,NZL,Lewis Clareburt,1:57.70,4,200m Individual medley,Olympic,117.7,New Zealand
2020,400m,Freestyle,Men,TUN,Ahmed Hafnaoui,3:43.36,1,400m Freestyle,Olympic,223.36,Tunisia
2020,400m,Freestyle,Men,AUS,Jack Mcloughlin,3:43.52,2,400m Freestyle,Olympic,223.52,Australia
2020,400m,Freestyle,Men,USA,Kieran Smith,3:43.94,3,400m Freestyle,Olympic,223.94,United States
2020,400m,Freestyle,Men,GER,Henning Bennet Muhlleitner,3:44.07,4,400m Freestyle,Olympic,224.07,GER
2020,400m,Freestyle,Men,AUT,Felix Auboeck,3:44.07,4,400m Freestyle,Olympic,224.07,Austria
2020,400m,Freestyle,Men,ITA,Gabriele Detti,3:44.88,4,400m Freestyle,Olympic,224.88,Italy
2020,400m,Freestyle,Men,AUS,Elijah Winnington,3:45.20,4,400m Freestyle,Olympic,225.2,Australia
2020,400m,Freestyle,Men,USA,Jake Mitchell,3:45.39,4,400m Freestyle,Olympic,225.39,United States
2020,400m,Individual medley,Men,USA,Chase Kalisz,4:09.42,1,400m Individual medley,Olympic,249.42,United States
2020,400m,Individual medley,Men,USA,Jay Litherland,4:10.28,2,400m Individual medley,Olympic,250.28,United States
2020,400m,Individual medley,Men,AUS,Brendon Smith,4:10.38,3,400m Individual medley,Olympic,250.38,Australia
2020,400m,Individual medley,Men,HUN,David Verraszto,4:10.59,4,400m Individual medley,Olympic,250.59,Hungary
2020,400m,Individual medley,Men,GBR,Max Litchfield,4:10.59,4,400m Individual medley,Olympic,250.59,United Kingdom
2020,400m,Individual medley,Men,FRA,Leon Marchand,4:11.16,4,400m Individual medley,Olympic,251.16,France
2020,400m,Individual medley,Men,NZL,Lewis Clareburt,4:11.22,4,400m Individual medley,Olympic,251.22,New Zealand
2020,400m,Individual medley,Men,ITA,Alberto Razzetti,4:11.32,4,400m Individual medley,Olympic,251.32,Italy
2020,50m,Freestyle,Men,USA,Caeleb Dressel,21.07,1,50m Freestyle,Olympic,21.07,United States
2020,50m,Freestyle,Men,FRA,Florent Manaudou,21.55,2,50m Freestyle,Olympic,21.55,France
2020,50m,Freestyle,Men,BRA,Bruno Fratus,21.57,3,50m Freestyle,Olympic,21.57,Brazil
2020,50m,Freestyle,Men,USA,Michael Andrew,21.60,4,50m Freestyle,Olympic,21.6,United States
2020,50m,Freestyle,Men,GBR,Ben Proud,21.72,4,50m Freestyle,Olympic,21.72,United Kingdom
2020,50m,Freestyle,Men,GRE,Kristian Gkolomeev,21.72,4,50m Freestyle,Olympic,21.72,GRE
2020,50m,Freestyle,Men,ITA,Lorenzo Zazzeri,21.78,4,50m Freestyle,Olympic,21.78,Italy
2020,50m,Freestyle,Men,NED,Thom De Boer,21.79,4,50m Freestyle,Olympic,21.79,NED
2020,800m,Freestyle,Men,USA,Robert Finke,7:41.87,1,800m Freestyle,Olympic,461.87,United States
2020,800m,Freestyle,Men,ITA,Gregorio Paltrinieri,7:42.11,2,800m Freestyle,Olympic,462.11,Italy
2020,800m,Freestyle,Men,UKR,Mykhailo Romanchuk,7:42.33,3,800m Freestyle,Olympic,462.33,Ukraine
2020,800m,Freestyle,Men,GER,Florian Wellbrock,7:42.68,4,800m Freestyle,Olympic,462.68,GER
2020,800m,Freestyle,Men,AUS,Jack Mcloughlin,7:45.00,4,800m Freestyle,Olympic,465.0,Australia
2020,800m,Freestyle,Men,UKR,Serhii Frolov,7:45.11,4,800m Freestyle,Olympic,465.11,Ukraine
2020,800m,Freestyle,Men,AUT,Felix Auboeck,7:49.14,4,800m Freestyle,Olympic,469.14,Austria
2020,800m,Freestyle,Men,BRA,Guilherme Costa,7:53.31,4,800m Freestyle,Olympic,473.31,Brazil
2020,100m,Backstroke,Women,AUS,Kaylee Mckeown,57.47,1,100m Backstroke,Olympic,57.47,Australia
2020,100m,Backstroke,Women,CAN,Kylie Masse,57.72,2,100m Backstroke,Olympic,57.72,Canada
2020,100m,Backstroke,Women,USA,Regan Smith,58.05,3,100m Backstroke,Olympic,58.05,United States
2020,100m,Backstroke,Women,USA,Rhyan Elizabeth White,58.43,4,100m Backstroke,Olympic,58.43,United States
2020,100m,Backstroke,Women,AUS,Emily Seebohm,58.45,4,100m Backstroke,Olympic,58.45,Australia
2020,100m,Backstroke,Women,GBR,Kathleen Dawson,58.70,4,100m Backstroke,Olympic,58.7,United Kingdom
2020,100m,Backstroke,Women,NED,Kira Toussaint,59.11,4,100m Backstroke,Olympic,59.11,NED
2020,100m,Backstroke,Women,ISR,Anastasya Gorbenko,59.53,4,100m Backstroke,Olympic,59.53,Israel
2020,100m,Breaststroke,Women,USA,Lydia Jacoby,1:04.95,1,100m Breaststroke,Olympic,64.95,United States
2020,100m,Breaststroke,Women,RSA,Tatjana Schoenmaker,1:05.22,2,100m Breaststroke,Olympic,65.22,RSA
2020,100m,Breaststroke,Women,USA,Lilly King,1:05.54,3,100m Breaststroke,Olympic,65.54,United States
2020,100m,Breaststroke,Women,ROC,Evgeniia Chikunova,1:05.90,4,100m Breaststroke,Olympic,65.9,ROC
2020,100m,Breaststroke,Women,ROC,Yuliya Efimova,1:06.02,4,100m Breaststroke,Olympic,66.02,ROC
2020,100m,Breaststroke,Women,SWE,Sophie Hansson,1:06.07,4,100m Breaststroke,Olympic,66.07,Sweden
2020,100m,Breaststroke,Women,ITA,Martina Carraro,1:06.19,4,100m Breaststroke,Olympic,66.19,Italy
2020,100m,Breaststroke,Women,IRL,Mona Mc Sharry,1:06.94,4,100m Breaststroke,Olympic,66.94,Ireland
2020,100m,Butterfly,Women,CAN,Margaret Mac Neil,55.59,1,100m Butterfly,Olympic,55.59,Canada
2020,100m,Butterfly,Women,CHN,Yufei Zhang,55.64,2,100m Butterfly,Olympic,55.64,China
2020,100m,Butterfly,Women,AUS,Emma Mckeon,55.72,3,100m Butterfly,Olympic,55.72,Australia
2020,100m,Butterfly,Women,USA,Torri Huske,55.73,4,100m Butterfly,Olympic,55.73,United States
2020,100m,Butterfly,Women,SWE,Louise Hansson,56.22,4,100m Butterfly,Olympic,56.22,Sweden
2020,100m,Butterfly,Women,FRA,Marie Wattel,56.27,4,100m Butterfly,Olympic,56.27,France
2020,100m,Butterfly,Women,SWE,Sarah Sjoestroem,56.91,4,100m Butterfly,Olympic,56.91,Sweden
2020,100m,Butterfly,Women,BLR,Anastasiya Shkurdai,57.05,4,100m Butterfly,Olympic,57.05,Belarus
2020,100m,Freestyle,Women,AUS,Emma Mckeon,51.96,1,100m Freestyle,Olympic,51.96,Australia
2020,100m,Freestyle,Women,HKG,Siobhan Bernadette Haughey,52.27,2,100m Freestyle,Olympic,52.27,Hong Kong
2020,100m,Freestyle,Women,AUS,Cate Campbell,52.52,3,100m Freestyle,Olympic,52.52,Australia
2020,100m,Freestyle,Women,CAN,Penny Oleksiak,52.59,4,100m Freestyle,Olympic,52.59,Canada
2020,100m,Freestyle,Women,SWE,Sarah Sjoestroem,52.68,4,100m Freestyle,Olympic,52.68,Sweden
2020,100m,Freestyle,Women,NED,Femke Heemskerk,52.79,4,100m Freestyle,Olympic,52.79,NED
2020,100m,Freestyle,Women,GBR,Anna Hopkin,52.83,4,100m Freestyle,Olympic,52.83,United Kingdom
2020,100m,Freestyle,Women,USA,Abbey Weitzeil,53.23,4,100m Freestyle,Olympic,53.23,United States
2020,1500m,Freestyle,Women,USA,Katie Ledecky,15:37.34,1,1500m Freestyle,Olympic,937.34,United States
2020,1500m,Freestyle,Women,USA,Erica Sullivan,15:41.41,2,1500m Freestyle,Olympic,941.41,United States
2020,1500m,Freestyle,Women,GER,Sarah Kohler,15:42.91,3,1500m Freestyle,Olympic,942.91,GER
2020,1500m,Freestyle,Women,CHN,Jianjiahe Wang,15:46.37,4,1500m Freestyle,Olympic,946.37,China
2020,1500m,Freestyle,Women,ITA,Simona Quadarella,15:53.97,4,1500m Freestyle,Olympic,953.97,Italy
2020,1500m,Freestyle,Women,AUS,Kiah Melverton,16:00.36,4,1500m Freestyle,Olympic,960.36,Australia
2020,1500m,Freestyle,Women,ROC,Anastasiia Kirpichnikova,16:00.38,4,1500m Freestyle,Olympic,960.38,ROC
2020,1500m,Freestyle,Women,AUS,Maddy Gough,16:05.81,4,1500m Freestyle,Olympic,965.81,Australia
2020,200m,Backstroke,Women,AUS,Kaylee Mckeown,2:04.68,1,200m Backstroke,Olympic,124.68,Australia
2020,200m,Backstroke,Women,CAN,Kylie Masse,2:05.42,2,200m Backstroke,Olympic,125.42,Canada
2020,200m,Backstroke,Women,AUS,Emily Seebohm,2:06.17,3,200m Backstroke,Olympic,126.17,Australia
2020,200m,Backstroke,Women,USA,Rhyan Elizabeth White,2:06.39,4,200m Backstroke,Olympic,126.39,United States
2020,200m,Backstroke,Women,USA,Phoebe Bacon,2:06.40,4,200m Backstroke,Olympic,126.4,United States
2020,200m,Backstroke,Women,CAN,Taylor Madison Ruck,2:08.24,4,200m Backstroke,Olympic,128.24,Canada
2020,200m,Backstroke,Women,CHN,Xuwei Peng,2:08.26,4,200m Backstroke,Olympic,128.26,China
2020,200m,Backstroke,Women,CHN,Yaxin Liu,2:08.48,4,200m Backstroke,Olympic,128.48,China
2020,200m,Breaststroke,Women,RSA,Tatjana Schoenmaker,2:18.95,1,200m Breaststroke,Olympic,138.95,RSA
2020,200m,Breaststroke,Women,USA,Lilly King,2:19.92,2,200m Breaststroke,Olympic,139.92000000000002,United States
2020,200m,Breaststroke,Women,USA,Annie Lazor,2:20.84,3,200m Breaststroke,Olympic,140.84,United States
2020,200m,Breaststroke,Women,ROC,Evgeniia Chikunova,2:20.88,4,200m Breaststroke,Olympic,140.88,ROC
2020,200m,Breaststroke,Women,RSA,Kaylene Corbett,2:22.06,4,200m Breaststroke,Olympic,142.06,RSA
2020,200m,Breaststroke,Women,GBR,Molly Renshaw,2:22.65,4,200m Breaststroke,Olympic,142.65,United Kingdom
2020,200m,Breaststroke,Women,GBR,Abbie Wood,2:23.72,4,200m Breaststroke,Olympic,143.72,United Kingdom
2020,200m,Breaststroke,Women,BEL,Fanny Lecluyse,2:24.57,4,200m Breaststroke,Olympic,144.57,Belgium
2020,200m,Butterfly,Women,CHN,Yufei Zhang,2:03.86,1,200m Butterfly,Olympic,123.86,China
2020,200m,Butterfly,Women,USA,Regan Smith,2:05.30,2,200m Butterfly,Olympic,125.3,United States
2020,200m,Butterfly,Women,USA,Hali Flickinger,2:05.65,3,200m Butterfly,Olympic,125.65,United States
2020,200m,Butterfly,Women,HUN,Boglarka Kapas,2:06.53,4,200m Butterfly,Olympic,126.53,Hungary
2020,200m,Butterfly,Women,ROC,Svetlana Chimrova,2:07.70,4,200m Butterfly,Olympic,127.7,ROC
2020,200m,Butterfly,Women,CHN,Liyan Yu,2:07.85,4,200m Butterfly,Olympic,127.85,China
2020,200m,Butterfly,Women,GBR,Alys Margaret Thomas,2:07.90,4,200m Butterfly,Olympic,127.9,United Kingdom
2020,200m,Butterfly,Women,AUS,Brianna Throssell,2:09.48,4,200m Butterfly,Olympic,129.48,Australia
2020,200m,Freestyle,Women,AUS,Ariarne Titmus,1:53.50,1,200m Freestyle,Olympic,113.5,Australia
2020,200m,Freestyle,Women,HKG,Siobhan Bernadette Haughey,1:53.92,2,200m Freestyle,Olympic,113.92,Hong Kong
2020,200m,Freestyle,Women,CAN,Penny Oleksiak,1:54.70,3,200m Freestyle,Olympic,114.7,Canada
2020,200m,Freestyle,Women,CHN,Junxuan Yang,1:55.01,4,200m Freestyle,Olympic,115.00999999999999,China
2020,200m,Freestyle,Women,USA,Katie Ledecky,1:55.21,4,200m Freestyle,Olympic,115.21000000000001,United States
2020,200m,Freestyle,Women,CZE,Barbora Seemanova,1:55.45,4,200m Freestyle,Olympic,115.45,Czechia
2020,200m,Freestyle,Women,ITA,Federica Pellegrini,1:55.91,4,200m Freestyle,Olympic,115.91,Italy
2020,200m,Freestyle,Women,AUS,Madison Wilson,1:56.39,4,200m Freestyle,Olympic,116.39,Australia
2020,200m,Individual medley,Women,JPN,Yui Ohashi,2:08.52,1,200m Individual medley,Olympic,128.52,Japan
2020,200m,Individual medley,Women,USA,Alex Walsh,2:08.65,2,200m Individual medley,Olympic,128.65,United States
2020,200m,Individual medley,Women,USA,Kate Douglass,2:09.04,3,200m Individual medley,Olympic,129.04,United States
2020,200m,Individual medley,Women,GBR,Abbie Wood,2:09.15,4,200m Individual medley,Olympic,129.15,United Kingdom
2020,200m,Individual medley,Women,CHN,Yiting Yu,2:09.57,4,200m Individual medley,Olympic,129.57,China
2020,200m,Individual medley,Women,CAN,Sydney Pickrem,2:10.05,4,200m Individual medley,Olympic,130.05,Canada
2020,200m,Individual medley,Women,HUN,Katinka Hosszu,2:12.38,4,200m Individual medley,Olympic,132.38,Hungary
2020,200m,Individual medley,Women,GBR,Alicia Wilson,2:12.86,4,200m Individual medley,Olympic,132.86,United Kingdom
2020,400m,Freestyle,Women,AUS,Ariarne Titmus,3:56.69,1,400m Freestyle,Olympic,236.69,Australia
2020,400m,Freestyle,Women,USA,Katie Ledecky,3:57.36,2,400m Freestyle,Olympic,237.36,United States
2020,400m,Freestyle,Women,CHN,Bingjie Li,4:01.08,3,400m Freestyle,Olympic,241.08,China
2020,400m,Freestyle,Women,CAN,Summer Mcintosh,4:02.42,4,400m Freestyle,Olympic,242.42,Canada
2020,400m,Freestyle,Women,CHN,Muhan Tang,4:04.10,4,400m Freestyle,Olympic,244.1,China
2020,400m,Freestyle,Women,GER,Isabel Gose,4:04.98,4,400m Freestyle,Olympic,244.98,GER
2020,400m,Freestyle,Women,USA,Paige Madden,4:06.81,4,400m Freestyle,Olympic,246.81,United States
2020,400m,Freestyle,Women,NZL,Erika Fairweather,4:08.01,4,400m Freestyle,Olympic,248.01,New Zealand
2020,50m,Freestyle,Women,AUS,Emma Mckeon,23.81,1,50m Freestyle,Olympic,23.81,Australia
2020,50m,Freestyle,Women,SWE,Sarah Sjoestroem,24.07,2,50m Freestyle,Olympic,24.07,Sweden
2020,50m,Freestyle,Women,DEN,Pernille Blume,24.21,3,50m Freestyle,Olympic,24.21,DEN
2020,50m,Freestyle,Women,NED,Ranomi Kromowidjojo,24.30,4,50m Freestyle,Olympic,24.3,NED
2020,50m,Freestyle,Women,POL,Katarzyna Wasick,24.32,4,50m Freestyle,Olympic,24.32,Poland
2020,50m,Freestyle,Women,CHN,Qingfeng Wu,24.32,4,50m Freestyle,Olympic,24.32,China
2020,50m,Freestyle,Women,AUS,Cate Campbell,24.36,4,50m Freestyle,Olympic,24.36,Australia
2020,50m,Freestyle,Women,USA,Abbey Weitzeil,24.41,4,50m Freestyle,Olympic,24.41,United States
2020,800m,Freestyle,Women,USA,Katie Ledecky,8:12.57,1,800m Freestyle,Olympic,492.57,United States
2020,800m,Freestyle,Women,AUS,Ariarne Titmus,8:13.83,2,800m Freestyle,Olympic,493.83,Australia
2020,800m,Freestyle,Women,ITA,Simona Quadarella,8:18.35,3,800m Freestyle,Olympic,498.35,Italy
2020,800m,Freestyle,Women,USA,Katie Grimes,8:19.38,4,800m Freestyle,Olympic,499.38,United States
2020,800m,Freestyle,Women,CHN,Jianjiahe Wang,8:21.93,4,800m Freestyle,Olympic,501.93,China
2020,800m,Freestyle,Women,AUS,Kiah Melverton,8:22.25,4,800m Freestyle,Olympic,502.25,Australia
2020,800m,Freestyle,Women,GER,Sarah Kohler,8:24.56,4,800m Freestyle,Olympic,504.56,GER
2020,800m,Freestyle,Women,ROC,Anastasiia Kirpichnikova,8:26.30,4,800m Freestyle,Olympic,506.3,ROC
2016,100m,Backstroke,Men,USA,Ryan Murphy,51.970,1,100m Backstroke,Olympic,51.97,United States
2016,100m,Backstroke,Men,CHN,Jiayu Xu,52.310,2,100m Backstroke,Olympic,52.31,China
2016,100m,Backstroke,Men,USA,David Plummer,52.400,3,100m Backstroke,Olympic,52.4,United States
2016,100m,Backstroke,Men,AUS,Mitchell Larkin,52.430,4,100m Backstroke,Olympic,52.43,Australia
2016,100m,Backstroke,Men,FRA,Camille Lacourt,52.700,4,100m Backstroke,Olympic,52.7,France
2016,100m,Backstroke,Men,RUS,Evgeny Rylov,52.740,4,100m Backstroke,Olympic,52.74,Russian Federation
2016,100m,Backstroke,Men,JPN,Ryosuke Irie,53.420,4,100m Backstroke,Olympic,53.42,Japan
2016,100m,Backstroke,Men,ROU,Robert Glinta,53.500,4,100m Backstroke,Olympic,53.5,Romania
2016,100m,Backstroke,Women,HUN,Katinka Hosszu,58.450,1,100m Backstroke,Olympic,58.45,Hungary
2016,100m,Backstroke,Women,USA,Kathleen Baker,58.750,2,100m Backstroke,Olympic,58.75,United States
2016,100m,Backstroke,Women,CAN,Kylie Masse,58.760,3,100m Backstroke,Olympic,58.76,Canada
2016,100m,Backstroke,Women,CHN,Yuanhui Fu,58.760,3,100m Backstroke,Olympic,58.76,China
2016,100m,Backstroke,Women,DEN,Mie Nielsen,58.800,4,100m Backstroke,Olympic,58.8,DEN
2016,100m,Backstroke,Women,USA,Olivia Smoliga,58.950,4,100m Backstroke,Olympic,58.95,United States
2016,100m,Backstroke,Women,AUS,Emily Seebohm,59.190,4,100m Backstroke,Olympic,59.19,Australia
2016,100m,Backstroke,Women,AUS,Madison Wilson,59.230,4,100m Backstroke,Olympic,59.23,Australia
2016,100m,Breaststroke,Men,GBR,Adam Peaty,57.130,1,100m Breaststroke,Olympic,57.13,United Kingdom
2016,100m,Breaststroke,Men,RSA,Cameron Van Der Burgh,58.690,2,100m Breaststroke,Olympic,58.69,RSA
2016,100m,Breaststroke,Men,USA,Cody Miller,58.870,3,100m Breaststroke,Olympic,58.87,United States
2016,100m,Breaststroke,Men,USA,Kevin Cordes,59.220,4,100m Breaststroke,Olympic,59.22,United States
2016,100m,Breaststroke,Men,BRA,Joao Gomes,59.310,4,100m Breaststroke,Olympic,59.31,Brazil
2016,100m,Breaststroke,Men,JPN,Yasuhiro Koseki,59.370,4,100m Breaststroke,Olympic,59.37,Japan
2016,100m,Breaststroke,Men,BRA,Felipe Franca,59.380,4,100m Breaststroke,Olympic,59.38,Brazil
2016,100m,Breaststroke,Men,KAZ,Dmitriy Balandin,59.950,4,100m Breaststroke,Olympic,59.95,Kazakhstan
2016,100m,Breaststroke,Women,USA,Lilly King,00:01:04.930000,1,100m Breaststroke,Olympic,64.93,United States
2016,100m,Breaststroke,Women,RUS,Yuliya Efimova,00:01:05.500000,2,100m Breaststroke,Olympic,65.5,Russian Federation
2016,100m,Breaststroke,Women,USA,Katie Meili,00:01:05.690000,3,100m Breaststroke,Olympic,65.69,United States
